time	wea	tem	hum	win	dir	winclass	rain	tembody	month_of_year	day_of_week	hour_of_day	is_holiday	load
2017-01-01 00:00:00	2	8	67	7	1	5	0	7	1	6	0	1	19478.7
2017-01-01 01:00:00	2	8	68	7	1	5	0	7	1	6	1	1	18474.4
2017-01-01 02:00:00	2	8	69	11	6	4	0	6	1	6	2	1	17737.9
2017-01-01 03:00:00	2	7	71	11	6	4	0	6	1	6	3	1	17198.6
2017-01-01 04:00:00	2	7	71	11	6	4	0	6	1	6	4	1	17141.6
2017-01-01 05:00:00	2	8	71	11	6	4	0	6	1	6	5	1	17068
2017-01-01 06:00:00	2	8	71	7	6	5	0	6	1	6	6	1	17396.2
2017-01-01 07:00:00	2	8	70	7	5	5	0	7	1	6	7	1	17410.4
2017-01-01 08:00:00	4	8	69	7	5	5	0	7	1	6	8	1	18434.2
2017-01-01 09:00:00	4	9	69	7	3	5	0	7	1	6	9	1	21222.4
2017-01-01 10:00:00	4	10	64	7	9	5	0	9	1	6	10	1	21655.2
2017-01-01 11:00:00	2	11	60	7	4	5	0	10	1	6	11	1	23041.1
2017-01-01 12:00:00	2	12	56	3	1	6	0	11	1	6	12	1	23247.6
2017-01-01 13:00:00	2	13	55	3	2	6	0	12	1	6	13	1	22307.7
2017-01-01 14:00:00	4	13	54	3	4	6	0	13	1	6	14	1	22314.9
2017-01-01 15:00:00	4	14	53	3	9	6	0	13	1	6	15	1	22129
2017-01-01 16:00:00	4	13	56	3	8	6	0	12	1	6	16	1	22193.5
2017-01-01 17:00:00	9	12	59	3	5	6	0	11	1	6	17	1	22855.9
2017-01-01 18:00:00	9	11	63	3	1	6	0	10	1	6	18	1	23664.3
2017-01-01 19:00:00	9	10	67	3	6	6	0	8	1	6	19	1	24308.6
2017-01-01 20:00:00	9	9	71	2	6	7	0	7	1	6	20	1	23477.6
2017-01-01 21:00:00	9	8	76	2	6	7	0	5	1	6	21	1	22864.5
2017-01-01 22:00:00	9	8	77	3	6	6	0	5	1	6	22	1	21190.3
2017-01-01 23:00:00	9	7	78	3	6	6	0	5	1	6	23	1	19610.4
2017-01-02 00:00:00	23	7	79	3	6	6	0	5	1	0	0	1	19696.4
2017-01-02 01:00:00	23	7	79	7	5	5	0	5	1	0	1	1	18701.9
2017-01-02 02:00:00	23	7	79	7	5	5	0	5	1	0	2	1	17719.8
2017-01-02 03:00:00	23	7	79	7	5	5	0	6	1	0	3	1	17412.8
2017-01-02 04:00:00	23	7	79	11	5	4	0	5	1	0	4	1	17275.5
2017-01-02 05:00:00	23	6	79	11	5	4	0	5	1	0	5	1	17117
2017-01-02 06:00:00	23	6	79	11	5	4	0	5	1	0	6	1	17485.8
2017-01-02 07:00:00	23	7	75	11	5	4	0	6	1	0	7	1	17833.8
2017-01-02 08:00:00	23	8	72	11	5	4	0	7	1	0	8	1	19054.6
2017-01-02 09:00:00	23	8	68	9	5	3	0	8	1	0	9	1	21856.7
2017-01-02 10:00:00	23	11	62	9	5	3	0	10	1	0	10	1	22978
2017-01-02 11:00:00	23	13	55	9	3	3	0	13	1	0	11	1	24567.4
2017-01-02 12:00:00	23	15	48	5	3	2	0	15	1	0	12	1	24619.2
2017-01-02 13:00:00	23	16	46	5	8	2	0	16	1	0	13	1	23261.5
2017-01-02 14:00:00	23	17	44	5	8	2	0	17	1	0	14	1	23664.7
2017-01-02 15:00:00	23	18	41	5	8	2	0	18	1	0	15	1	23646.3
2017-01-02 16:00:00	9	18	43	5	3	2	0	18	1	0	16	1	23729.1
2017-01-02 17:00:00	2	17	45	9	6	3	0	17	1	0	17	1	24690.9
2017-01-02 18:00:00	2	17	47	11	1	4	0	17	1	0	18	1	25359.9
2017-01-02 19:00:00	2	16	51	7	6	5	0	16	1	0	19	1	25563.3
2017-01-02 20:00:00	2	15	55	7	5	5	0	15	1	0	20	1	25480.7
2017-01-02 21:00:00	2	14	59	3	3	6	0	14	1	0	21	1	24845.6
2017-01-02 22:00:00	2	13	61	7	8	5	0	13	1	0	22	1	22810.1
2017-01-02 23:00:00	2	12	63	7	9	5	0	12	1	0	23	1	20939.2
2017-01-03 00:00:00	2	11	66	7	9	5	0	10	1	1	0	0	20106.3
2017-01-03 01:00:00	2	10	67	7	8	5	0	9	1	1	1	0	19102.8
2017-01-03 02:00:00	9	9	69	7	5	5	0	8	1	1	2	0	18686.5
2017-01-03 03:00:00	9	8	71	11	1	4	0	7	1	1	3	0	18481.7
